Number,Date,Truck,Length,Route,Ref,Price,BAF,Voucher,INVOICE
4544,19.05.2015,IF-08-TDS,16.5,DO-CA,DO25496551,130,14,900671,963.00 €
4545,19.05.2015,AB-93-YAN,6,DO-CA,DO25497089,80,14,900672,963.00 €
4546,19.05.2015,CJ-16-AFU,16.5,CA-DO,CA21193113,130,14,900673,963.00 €
4547,20.05.2015,AB-03-KYM,16.5,DO-CA,DO25500024,130,14,900674,963.00 €
4548,20.05.2015,CJ-16-AFT,16.5,CA-DO,CA21194901,130,14,900675,963.00 €
4549,20.05.2015,MM-04-ELK,16.5,DO-CA,DO25500115,130,14,900676,963.00 €
4550,20.05.2015,AG-12-GMZ,16.5,CA-DO,CA21195878,130,14,900677,963.00 €
4551,21.05.2015,HD-31-CAN,16.5,CA-DO,CA21197803,130,14,900678,963.00 €
4552,21.05.2015,HD-31-CAN,16.5,DO-CA,DO25502676,130,14,900679,963.00 €
4553,21.05.2015,SJ-05-LTO,7,DO-CA,DO25502705,80,14,900680,963.00 €
4554,21.05.2015,B-200-FIR ,16.5,CA-DO,CA21197857,130,14,900681,
4555,21.05.2015,CJ-16-AFU,16.5,DO-CA,DO25502828,130,14,900682,963.00 €
4556,21.05.2015,B-44-SFP,16.5,DO-CA,DO25502859,130,14,900683,963.00 €
4557,21.05.2015,AB-26-VON,6,CA-DO,CA21198281,80,14,900684,
4558,21.05.2015,AB15VON,6,DO-CA,DO25504096,80,14,900685,963.00 €
4559,22.05.2015,B106ELK,16.5,DO-CA,DO25505069,140,14,900686,963.00 €
4560,22.05.2015,B-31-FUC,16.5,CA-DO,CA21200012,130,14,900687,963.00 €
4561,22.05.2015,B-31-FUC,16.5,DO-CA,DO25505131,130,14,900688,963.00 €
4562,22.05.2015,B101WXT                  ,16.5,CA-DO,CA21200696,130,14,900689,963.00 €
4563,25.05.2015,B-156-WTS,16.5,DO-CA,DO25510700,130,14,900690,963.00 €
4564,19.05.2015,B 75 CHH,16.5,DO-CA,DO25498262,140,17,900691,963.00 €
4565,19.05.2015,B 155 WTS,16.5,do - ca,DO25498263,140,17,900692,963.00 €
4566,19.05.2015,B 233 WTX,16.5,DO-CA,DO25498411,140,17,900693,963.00 €
4567,22.05.2015,B-444-WXT,16.5,CA-DO,CA21201152,140,17,900694,963.00 €
4568,22.05.2015,CJ-16-AFT,16.5,DO-CA,DO25506445,140,17,900695,963.00 €
4569,22.05.2015,B-224-CNT,16.5,DO-CA,DO25507007,140,17,900696,963.00 €
4570,22.05.2015,CJ-43-CNT,16.5,DO-CA,DO25507008,140,17,900697,963.00 €
4571,"22,05,2015",nt46man,16.5,do-ca,DO25507472,140,17,900698,963.00 €
4572,23.05.2015,AG-12-GMZ,16.5,DO-CA,DO25507642,140,17,900699,963.00 €
4573,23.05.2015,B-800-FIR,16.5,CA-DO,CA21202405,140,17,900700,
4574,23.05.2015,NT90DAF,16.5,CA-DO,CA21203149,140,17,900701,963.00 €
4575,23.05.2015,NT09GHG,16.5,CA-DO,CA21203150,140,17,900702,963.00 €
4576,23.05.2015,IF-07-TDS,16.5,CA-DO,CA21203560,140,17,900703,963.00 €
4577,24.05.2015,AB 48 DEN,6,CA-DO,CA21203776,80,14,900704,963.00 €
4578,24.05.2015,B 300 MDR,6,do - ca,DO25510133,80,14,900705,963.00 €
4579,25.05.2015,CJ05KYM,16.5,CA-DO,CA21203973,140,14,900706,963.00 €
4580,25.05.2015,CJ05KYM,16.5,DO-CA,DO25510481,140,14,900707,963.00 €
4581,25.05.2015,CJ15JZI,16.5,CA-DO,CA21203974,140,14,900708,963.00 €
4582,25.05.2015,CJ15VEW,16.5,CA-DO,CA21203975,140,140,900709,963.00 €
4583,25.05.2015,cj44cnt,16.5,ca-do,CA21204539,140,14,900710,963.00 €
4584,26.05.2015,B108ELK,16.5,DO-CA,DO25512117,140,14,900711,963.00 €
4585,26.05.2015,bh37sfp,16.5,CA-DO,CA21205654,140,14,900712,963.00 €
4586,26.05.2015,OT16RUN,16.5,CA-DO,CA21205946,140,14,900713,963.00 €
4587,26.05.2015,OT16RUN,16.5,DO-CA,DO25513130,140,14,900714,"1,109.00 €"
4588,26.05.2015,DT-705-AZ,16.5,CA-DO,CA21206030,140,14,900715,963.00 €
4589,26.05.2015,DT-705-AZ,16.5,DO-CA,DO25513273,140,14,900716,963.00 €
4590,26.05.2015,CJ-15-JZI,16.5,DO-CA,DO25513734,140,14,900717,963.00 €
4591,26.05.2015,IF07TDS,16.5,DO-CA,DO25513951,140,14,900718,963.00 €
4592,26.05.2015,B12XCG ,16.5,DO-CA,DO25514448,140,14,900719,963.00 €
4593,27.05.2015,CJ52CNT,16.5,CA-DO,CA21207540,140,14,900720,963.00 €
4594,27.05.2015,CJ53CNT,16.5,CA-DO,CA21207541,140,14,900721,963.00 €
4595,27.05.2015,B-31-KUH,16.5,DO-CA,DO25515793,140,14,900722,963.00 €
4596,27.05.2015,CJ-16-MPG,16.5,CA-DO,CA21207941,140,14,900723,963.00 €
4597,27.05.2015,CJ-15-VEW,16.5,DO-CA,DO25516016,140,14,900724,963.00 €
4598,27.05.2015,VL-69-BAL,16.5,CA-DO,CA21208123,140,14,900725,963.00 €
4599,27.05.2015,AG-88-BYC,6,CA-DO,CA21208309,80,14,900726,963.00 €
4600,27.05.2015,AG-88-BYC,6,DO-CA,DO25516205,80,14,900727,963.00 €
4601,27.05.2015,sm99xod,16.5,do-ca,DO25516374,140,14,900728,963.00 €
4602,27.05.2015,b251lto,6,do-ca,DO25516375,80,14,900729,963.00 €
4603,27.05.2015,AG-06-CDY,16.5,CA-DO,CA21208789,140,14,900730,963.00 €
4604,27.05.2015,AG-06-CDY,16.5,DO-CA,DO25516733,140,14,900731,963.00 €
4605,27.05.2015,AG-04-CDY,16.5,CA-DO,CA21208790,140,14,900732,963.00 €
4606,27.05.2015,AG-04-CDY,16.5,DO-CA,DO25516734,140,14,900733,963.00 €
4607,27.05.2015,B101WXT           ,16.5,do-ca,DO25517000,140,14,900734,963.00 €
4608,27.05.2015,NT-09-GHG,16.5,DO-CA,DO25517465,140,14,900735,963.00 €
4609,27.05.2015,B-155-WTS,16.5,CA-DO,CA21209552,140,14,900736,963.00 €
4610,27.05.2015,HD-48-YUL,16.5,CA-DO,CA21209594,140,14,900737,963.00 €
4611,27.05.2015,HD-48-YUL,16.5,DO-CA,DO25517770,140,14,900738,963.00 €
4612,28.05.2015,B-444-WXT,16.5,DO-CA,DO25519484,140,14,900739,963.00 €
4613,28.05.2015,CT-22-WXT,16.5,CA-DO,CA21211076,140,14,900740,963.00 €
4614,28.05.2015,BH-37-SFP,16.5,DO-CA,DO25519852,140,14,900741,963.00 €
4615,28.05.2015,B11TGT,16.5,CA-DO,CA21211706,140,14,900742,963.00 €
4616,28.05.2015,B11TGT,16.5,DO-CA,DO25520389,140,14,900743,963.00 €
4617,28.05.2015 ,OT34PAM ,6,CA-DO,CA21211883,140,14,900744,963.00 €
4618,29.05.2015,CJ44CNT,16.5,DO-CA,DO25521261,140,14,900745,963.00 €
4619,28.05.2015,MM26ELK,16.5,DO-CA,DO25518368,140,14,900746,963.00 €
4620,28.05.2015,B261ATP,16.5,DO-CA,DO25518405,140,14,900747,"1,109.00 €"
4621,29.05.2015,CJ45CNT,16.5,DO-CA,DO25521262,140,14,900748,963.00 €
4622,29.05.2015,B 47 DJY,16.5,DO-CA,DO25521337,140,14,900749,"1,109.00 €"
4623,29.05.2015,CJ-16-MPG,16.5,DO-CA,DO25521975,140,14,900750,963.00 €
4624,29.05.2015,B-108-ELK ,16.5,DO-CA,DO25522457,140,14,900751,"1,109.00 €"
4625,29.05.2015,B-44-SFP,16.5,CA-DO,CA21213835,140,14,900752,"1,109.00 €"
4626,29.05.2015,CT-22-WXT,16.5,DO-CA,DO25523162,140,14,900753,"1,109.00 €"
4627,29.05.2015,SB71LAL,16.5,DO-CA,CA21214669,140,14,900754,963.00 €
4628,29.05.2015,CJ 51 CNT,16.5,do - ca,DO25523848,140,14,900755,"1,109.00 €"
4629,29.05.2015,nt 95 daf,16.5,do - ca,DO25524758,140,14,900756,963.00 €
4630,29.05.2015,NT 16 MAN ,16.5,CA-DO,CA21215304           ,140,14,900757,963.00 €
4631,30.05.2015,IF08TDS,16.5,CA-DO,CA21215632,140,14,900758,963.00 €
4632,31.05.2015,HD17ULY,16.5,CA-DO,CA21216255,140,14,900759,963.00 €
4633,31.05.2015,HD17ULY,16.5,do - ca,DO25526169,140,14,900760,"1,109.00 €"
4634,02.06.2015,OT11RUN,16.5,CA-DO,CA21220368,140,14,900761,"1,109.00 €"
4635,31.05.2015,B156WTS,16.5,DO - CA,DO25526427,140,14,900762,"1,109.00 €"
4636,01.06.2015,CJ16AFS,16.5,CA-DO,CA21217160,140,10,900763,"1,109.00 €"
4637,02.06.2015,DS-114-EX,16.5,CA-DO,CA21218033           ,140,14,900764,"1,109.00 €"
4638,02.06.2015,CJ46CNT,16.5,CA-DO,CA21219799,140,14,900765,"1,109.00 €"
4639,02.06.2015,B225CNT,16.5,DO-CA,DO25530960,140,14,900766,"1,109.00 €"
4640,02.06.2015,OT11RUN,16.5,DO-CA,DO25531539,140,14,900767,"1,109.00 €"
4641,02.06.2015,B170DAF,16.5,CA-DO,CA21220381,140,14,900768,"1,109.00 €"
4642,02.06.2015,CJ-15-JZG,16.5,CA-DO,CA21220579,140,14,900769,"1,109.00 €"
4643,02.06.2015,VL08KBN,6,CA-DO,CA21220916,80,14,900770,"1,109.00 €"
4644,,VL74ADM,6,CA-DO,CA21220928,80,14,900771,"1,109.00 €"
4645,03.06.2015,CJ16AFS,16.5,DO-CA,DO25533385,140,14,900772,"1,109.00 €"
4646,03.06.2015,IF08TDS,16.5,DO-CA,DO25533634,140,14,900773,"1,109.00 €"
4647,03.06.2015,B47DJZ,16.5,DO-CA,DO25533668,140,14,900774,"1,109.00 €"
4648,03.06.2015,HD-61-YUL,16.5,CA-DO,CA21222302,140,14,900775,"1,109.00 €"
4649,05.06.2015,B-135-ATP,16.5,DO-CA,DO25539411,140,14,900776,"1,109.00 €"
4650,03.06.2015,CJ-16-DDP,16.5,CA-DO,CA21222411,140,14,900777,"1,109.00 €"
4651,03.06.2015,CJ16MPH,16.5,CA-DO,CA21222568,140,14,900778,"1,109.00 €"
4652,05.06.2015,CJ16DDP,16.5,do - ca,DO25541217,140,14,900779,"1,109.00 €"
4653,04.06.2015,B155WTS,16.5,CA-DO,CA21223468,140,14,900780,"1,109.00 €"
4654,04.06.2015,CJ15JZG,16.5,DO-CA,DO25536948,140,14,900781,"1,109.00 €"
4655,04.06.2015,AG12FHK,15,CA-DO,CA21224502,140,14,900782,"1,109.00 €"
4656,04.06.2015,B44SFP,16.5,DO-CA,DO25537338,140,14,900783,"1,109.00 €"
4657,05.06.2015,CJ43CNT,16.5,DO-CA,DO25538879,140,14,900784,"1,109.00 €"
4658,05.06.2015,CJ49CNT,16.5,DO-CA,DO25538880,140,14,900785,"1,109.00 €"
4659,05.06.2015,CJ50CNT,16.5,DO-CA,DO25538881,140,14,900786,"1,109.00 €"
4660,05.06.2015,SB-11-AMZ,6,DO-CA,DO25539170,80,14,900787,"1,109.00 €"
4661,05.06.2015,CJ16MPH,16.5,do - ca,DO25541218,140,14,900788,"1,109.00 €"
4662,05.06.2015,CJ15JZI,16.5,CA-DO,CA21227529,140,14,900789,"1,109.00 €"
4663,05.06.2015,CJ15UKR,16.5,CA-DO,CA21227530,140,14,900790,"1,109.00 €"
4664,06.06.2015,B170DAF,16.5,DO-CA,DO25542739,140,14,900791,"1,109.00 €"
4665,06.06.2015,CN-733-GD,16.5,CA-DO,CA21228634,140,14,900792,"1,109.00 €"
4666,07.06.2015,HD-31-CNA,16.5,CA-DO,CA21229263,140,14,900793,"1,109.00 €"
4667,12.06.2015,CT22WXT,16.5,DO-CA,DO25558945,140,14,900794,"1,109.00 €"
4668,08.06.2015,B-183-UTL,16.5,CA-DO,CA21229693,140,14,900795,
4669,08.06.2015,MM18ELK,16.5,DO-CA,DO25545636,140,14,900796,"1,109.00 €"
4670,08.06.2015,MM34ELK,16.5,DO-CA,DO25545637,140,14,900797,"1,109.00 €"
4671,09.06.2015,CJ05KYM,16.5,CA-DO,CA21232634,140,14,900798,"1,109.00 €"
4672,09.06.2015,B47DJY,16.5,DO-CA,DO25548718,140,140,900799,"1,109.00 €"
4673,04.06.2015,VL 69 BAL ,16.5,DO-CA,DO25538162,140,14,900800,"1,109.00 €"
4674,04.06.2015,B155WTS,16.5,DO-CA,DO25538338,140,14,900801,"1,109.00 €"
4675,08.06.2015,AB-53-ANE,16.5,CA-DO,CA21229624,140,14,900802,"1,109.00 €"
4676,08.06.2015,CJ24UTL,16.5,CA-DO,CA21229694,140,14,900803,"1,109.00 €"
4677,08.06.2015,CJ15JZI,16.5,do-ca,DO25547150,140,14,900804,"1,109.00 €"
4678,08.06.2015,CJ15UKR,16.5,do-ca,DO25547151,140,14,900805,"1,109.00 €"
4679,08.06.2015,19844H6,16.5,ca-do,CA21231868,140,14,900806,"1,109.00 €"
4680,09.06.2015,CJ53CNT,16.5,CA-DO,CA21233333,140,14,900807,"1,109.00 €"
4681,09.06.2015,BC 25 AWS                ,16.5,DO-CA,DO25549155,140,14,900808,"1,109.00 €"
4682,09.06.2015,IF11TDS,16.5,DO-CA,DO25549375,140,14,900809,"1,109.00 €"
4683,09.06.2015,AG-06-CDY,16.5,CA-DO,CA21234098,140,14,900810,"1,109.00 €"
4684,09.06.2015,AG-06-CDY,16.5,DO-CA,DO25549889,140,14,900811,"1,109.00 €"
4685,09.06.2015,B-114-RSA,7,DO-CA,DO25550545,80,14,900812,"1,109.00 €"
4686,10.06.2015,MM-16-ELK,16.5,DO-CA,DO25551431,140,14,900813,"1,109.00 €"
4687,12.06.2015,CJ-15-VEW,16.5,CA-DO,CA21240781,140,14,900814,"1,109.00 €"
4688,10.06.2015,CT-22-WXT,16.5,CA-DO,CA21236156,140,14,900815,"1,109.00 €"
4689,11.06.2015,CJ52CNT,16.5,CA-DO,CA21237366,140,14,900816,"1,109.00 €"
4690,11.06.2015,CJ45CNT,16.5,DO-CA,DO25554079,140,14,900817,"1,109.00 €"
4691,11.06.2015,HD-77-BET,16.5,CA-DO,CA21237849,140,14,900818,"1,109.00 €"
4692,11.06.2015,HD-77-BET,16.5,DO-CA,DO25554596,140,14,900819,"1,196.00 €"
4693,12.06.2015,B-93-DWM,16.5,CA-DO,CA21240782,140,14,900820,"1,109.00 €"
4694,11.06.2015,B-666-JRX,16.5,CA-DO,CA21238679,140,14,900821,"1,109.00 €"
4695,12.06.2015,BH-11-ENJ,16.5,CA-DO,CA21241040,140,14,900822,"1,109.00 €"
4696,12.06.2015,AB-22-VON,6,CA-DO,CA21242289,140,14,900823,"1,109.00 €"
4697,13.06.2015,b28tds,16.5,ca-do,CA21242852,140,14,900824,"1,109.00 €"
4698,13.06.2015,B156WTS,16.5,CA-D0,CA21243178,140,14,900825,
4699,15.06.2015,B-111-TGT,16.5,CA-DO,CA21245467,140,14,900826,"1,196.00 €"
4700,15.06.2015,B-111-TGT,16.5,DO-CA,DO25564265,140,14,900827,"1,196.00 €"
4701,15.06.2015,B223CNT,16.5,CA-DO,CA21245600,140,14,900828,"1,196.00 €"
4702,15.06.2015,CJ52CNT,16.5,DO-CA,DO25564403,140,14,900829,"1,196.00 €"
4703,15.06.2015,CJ-15-VEW,16.5,DO-CA,DO25564563,140,14,900830,"1,196.00 €"
4704,15.06.2015,B93DWM,16.5,DO-CA,DO25564799,140,14,900831,"1,196.00 €"
4705,15.06.2015,B02SES,6,CA-DO,CA21246039,140,14,900832,"1,196.00 €"
4706,15.06.2015,HD-17-ULY,16.5,CA-DO,CA21246246,140,14,900833,"1,196.00 €"
4707,15.06.2015,HD-17-ULY,16.5,DO-CA,DO25565365,140,14,900834,"1,196.00 €"
4708,16.06.2015,B 137 ATP,16.5,CA-DO,CA21246638,140,14,900835,"1,196.00 €"
4709,16.06.2015,B 137 ATP,16.5,DO-CA,DO25566031,140,14,900836,"1,196.00 €"
4710,16.06.2015,B44SFP,16.5,CA-DO,CA21246780,140,14,900837,"1,196.00 €"
4711,16.06.2015,B233ATP,16.5,DO-CA,DO25566640,140,14,900838,"1,196.00 €"
4712,16.06.2015,IF 02 STA ,16.5,CA-DO,CA21247466,140,14,900839,"1,196.00 €"
4713,17.06.2015,BH11ENJ                  ,16.5,DO-CA,DO25570509,14,14,900840,"1,196.00 €"
4714,16.06.2015,B28TDS,16.5,DO-CA,DO25567016,140,14,900841,"1,196.00 €"
4715,"16,06,2015",AG04CDY,16.5,CA-DO,CA21247638,140,14,900842,"1,196.00 €"
4716,"16,06,2015",AG04CDY,16.5,DO-CA,DO25567077,140,14,900843,"1,196.00 €"
4717,16.06.2015,CJ46CNT,16.5,CA-DO,CA21247698,140,14,900844,"1,196.00 €"
4718,16.06.2015,CJ51CNT,16.5,CA-DO,CA21247699,140,14,900845,"1,196.00 €"
4719,16.06.2015,hd48yul,16.5,ca-do,CA21248750,140,14,900846,"1,196.00 €"
4720,16.06.2015,hd48yul,16.5,do-ca,DO25568573,140,14,900847,"1,196.00 €"
4721,17.06.2015,OT-16-RUN,16.5,CA-DO,CA21249859,140,14,900848,"1,196.00 €"
4722,17.06.2015,OT-16-RUN,16.5,DO-CA,DO25569984,140,14,900849,"1,196.00 €"
4723,17.06.2015,MM-24-ELK,16.5,DO-CA,DO25570327,140,14,900850,"1,196.00 €"
4724,17.06.2015,AB-03-KYM,16.5,DO-CA,DO25570347,140,14,900851,"1,196.00 €"
4725,17.06.2015,B-828-XXX,16.5,CA-DO,CA21250435,140,14,900852,"1,196.00 €"
4726,17.06.2015,B-75-CHH,16.5,CA-DO,CA21250545,140,14,900853,"1,196.00 €"
4727,18.06.2015,B-232-ATP,16.5,CA-DO,CA21251431,140,14,900854,"1,196.00 €"
4728,18.06.2015,B-232-ATP,16.5,DO-CA,DO25572027,140,14,900855,"1,196.00 €"
4729,18.06.2015,B31FUB,16.5,CA-DO,CA21251453,140,14,900856,"1,196.00 €"
4730,18.06.2015,B31FUB,16.5,DO-CA,DO25572055,140,14,900857,"1,196.00 €"
4731,18.06.2015,CJ-14-ZSJ,16.5,CA-DO,CA21251644,140,14,900858,"1,196.00 €"
4732,18.06.2015,B31FUC,16.5,CA-DO,CA21252187,140,14,900859,"1,196.00 €"
4733,18.06.2015,B31FUC,16.5,DO-CA,DO25572793,140,14,900860,"1,196.00 €"
4734,18.06.2015,B 215 LTO,6,ca-do,CA21253295,140,14,900861,"1,196.00 €"
4735,19.06.2015,CJ46CNT,16.5,DO-CA,DO25574962,140,14,900862,"1,196.00 €"
4736,19.06.2015,CJ50CNT,16.5,DO-CA,DO25574963,140,14,900863,"1,196.00 €"
4737,19.06.2015,B225CNT,16.5,DO-CA,DO25574964,140,14,900864,"1,196.00 €"
4738,19.06.2015,B-130-ATP,16.5,CA-DO,CA21253744,140,14,900865,"1,196.00 €"
4739,19.06.2015,B-130-ATP,16.5,DO-CA,DO25575097,140,14,900866,"1,196.00 €"
4740,19.06.2015,B-44-SFP,16.5,DO-CA,DO25575191,140,14,900867,"1,196.00 €"
4741,19.06.2015,MM-32-ELK,16.5,DO-CA,DO25576186,140,14,900868,"1,196.00 €"
4742,19.06.2015,CJ-16-MPJ,16.5,CA-DO,CA21254772,140,14,900869,"1,196.00 €"
4743,19.06.2015,AG-12-FHK,6,DO-CA,DO25577018,80,14,900870,"1,196.00 €"
4744,19.06.2015,CJ-14-ZSJ,16.5,DO-CA,DO25577333,140,14,900871,"1,196.00 €"
4745,19.06.2015,AB-72-AND,8,Do-CA,DO25577970,80,14,900872,"1,196.00 €"
4746,20.06.2015,B-828-XXX,16.5,DO-CA,DO25579000,140,14,900873,"1,196.00 €"
4747,20.06.2015,IF-11-TDS,16.5,DO-CA,CA21256839,140,14,900874,"1,196.00 €"
4748,21.06.2015,HD-61-YUL,16.5,CA-DO,CA21257571,140,14,900875,"1,196.00 €"
4749,21.06.2015,HD-61-YUL,16.5,DO-CA,DO25580138,140,14,900876,
4750,21.06.2015,B-200-FIR ,16.5,CA-DO,CA21257652,140,14,900877,"1,196.00 €"
4751,22.06.2015,CJ43CNT,16.5,CA-DO,CA21258024,140,14,900878,"1,196.00 €"
4752,22.06.2015,CJ49CNT,16.5,CA-DO,CA21258025,140,14,900879,"1,196.00 €"
4753,22.06.2015,CJ53CNT,16.5,CA-DO,CA21258026,140,14,900880,"1,196.00 €"
4754,"22,06,2015",B75CHH,16.5,CA-DO,CA21258616,140,14,900881,"1,196.00 €"
4755,22.06.2015,VL-69-BAL,16.5,CA-DO,CA21259067,140,14,900882,"1,196.00 €"
4756,24.06.2015,AG-18-LML,16.5,CA-DO,CA21263436,140,14,900883,"1,196.00 €"
4757,24.06.2015,HD-77-BET,16.5,CA-DO,CA21263505,140,14,900884,"1,196.00 €"
4758,23.06.2015,B433AND,13,CA-DO,CA21260262,140,14,900885,"1,196.00 €"
4759,23.06.2015,AB10ANE,13,CA-DO,CA21260263,140,14,900886,
4760,23.06.2015,AB39ANI,13,CA-DO,CA21260264,140,14,900887,
4761,23.06.2015,IF11TDS,16.5,DO-CA,DO25584677,140,14,900888,"1,196.00 €"
4762,01.07.2015,AG-29-BBB,8,DO-BO,DO25603474,140,14,900889,
4763,24.06.2015,MM-04-ELK,16.5,DO-CA,DO25586668,140,14,900890,"1,196.00 €"
4764,24.06.2015,HD-77-BET,16.5,DO-CA,DO25587362,140,14,900891,"1,196.00 €"
4765,24.06.2015,YJ-56-KKL,16.5,DO-CA,DO25587474,140,14,900892,"1,196.00 €"
4766,"24,06,2015",Cj16MPG ,16.5,CA-DO,CA21263726,140,14,900893,"1,196.00 €"
4767,25.06.2015,CJ-45-CNT,16.5,DO-CA,DO25590098,140,14,900894,"1,196.00 €"
4768,25.06.2015,CJ-49-CNT,16.5,DO-CA,DO25590099,140,14,900895,"1,196.00 €"
4769,03.07.2015,AG-75-FTS,16.5,CA-DO,CA21279183,140,14,900896,
4770,25.06.2015,B-223-CNT,16.5,CA-DO,CA21266206,140,14,900897,"1,196.00 €"
4771,25.06.2015,CJ-52-CNT,16.5,CA-DO,CA21266207,140,14,900898,"1,196.00 €"
4772,26.06.2015,B 31 FUB,16.5,CA-DO,CA21267730,140,14,900899,"1,196.00 €"
4773,26.06.2015,B 31 FUB,16.5,DO-CA,DO25592151,140,14,900900,
4774,26.06.2015,MM-18-ELK,16.5,DO-CA,DO25592711,140,14,900901,
4775,26.06.2015,B 135 ATP,16.5,CA-DO,CA21268467,140,14,900902,"1,196.00 €"
4776,26.06.2015,B 135 ATP,16.5,DO-CA,DO25592862,140,14,900903,
4777,03.07.2015,AB-03-KYM,16.5,DO-CA,DO25607122,140,14,900904,
4778,03.07.2015,SB-71-LAL,16.5,CA-DO,CA21279315,140,14,900905,
4779,27.06.2015,OT20RUN,16.5,CA-DO,CA21271062,140,14,900906,"1,196.00 €"
4780,27.06.2015,OT20RUN,16.5,DO-CA,DO25596280,140,14,900907,
4781,27.06.2015,CJ44CNT,16.5,DO-CA,DO25596690,140,14,900908,"1,196.00 €"
4782,27.06.2015,if08tds,16.5,ca-do,CA21271521,140,14,900909,"1,196.00 €"
4783,28.06.2015,hd48yul,16.5,CA-DO,CA21272044,140,14,900910,"1,196.00 €"
4784,28.06.2015,HD48YUL,16.5,do-ca,DO25597740,140,14,900911,
4785,29.06.2015,B444WXT,16.5,CA-DO,CA21272687,140,14,900912,"1,196.00 €"
4786,29.06.2015,CT22WXT,16.5,CA-DO,CA21272688,140,14,900913,"1,196.00 €"
4787,29.06.2015,B-224-CNT,16.5,CA-DO,CA21272831,140,14,900914,
4788,03.07.2015,SB-71-LAL,16.5,DO-CA,DO25606983,140,14,900915,
4789,29.06.2015,TT 388 EL ,16.5,DO-CA,DO25600008,140,14,900916,
4790,29.06.2015,KN-723-DK,16.5,DO-CA,DO25600597,140,14,900917,
4791,29.06.2015,B-25-LML,16.5,CA-DO,CA21274792,140,14,900918,
4792,01.07.2015,39-PQ-05,16.5,DO-CA,DO25603169,140,14,900919,
4793,01.07.2015,CJ-52-CNT,16.5,DO-CA,DO25603871,140,14,900920,
4794,02.07.2015,AG-04-CDY,16.5,CA-DO,CA21276800,140,14,900921,
4795,02.07.2015,VL-01-UDY,16.5,CA-DO,CA21276937,140,14,900922,
4796,02.07.2015,B-111-TGT,16.5,CA-DO,CA21276951,140,14,900923,
4797,02.07.2015,B-111-TGT,16.5,DO-CA,DO25604700,140,14,900924,
4798,02.07.2015,B-30-UWO,16.5,CA-DO,CA21277832,140,14,900925,
4799,02.07.2015,VL69BAL,16.5,DO-CA,DO25605766           ,140,14,900926,
4800,02.07.2015,BH35VER,16.5,DO-CA,DO25605984,140,14,900927,
4801,02.07.2015,ag22sls,6,do-ca,DO25606037,80,14,900928,
4802,03.07.2015,ab48den,7,do-ca,DO25606390,80,14,900929,
4803,03.07.2015,SV28BUK,16.5,CA-DO,CA21278740,140,14,900930,
4804,03.07.2015,SV28BUK,16.5,DO-CA,DO25606444,140,14,900931,
4805,03.07.2015,B225CNT,16.5,DO-CA,DO25607840,140,14,900932,
4806,03.07.2015,B-109-ELK,16.5,DO-CA,DO25608413,140,14,900933,
4807,03.07.2015,OT11RUN                  ,16.5,ca-do,CA21280756,140,14,900934,
4808,03.07.2015,OT11RUN                  ,16.5,DO-CA,DO25608584,140,14,900935,
4809,"03,07,2015",b231psa,6,ca-do,CA21280834,80,14,900936,
4810,06.07.2015,CJ-16-AFU,16.5,DO-CA,DO25615441,140,14,900937,
4811,03.07.2015,SV-16-SRA,16.5,CA-DO,CA21280986,140,14,900938,
4812,03.07.2015,HD-61-YUL,16.5,CA-DO,CA21281314,140,14,900939,
4813,13.07.2015,CJ45CNT,16.5,DO-CA,DO25636224,140,14,900940,
4814,03.07.2015,VL01UDY,16.5,DO-CA,DO25609423,140,14,900941,
4815,03.07.2015,VL10DEL                  ,16.5,DO-CA,DO25609424,140,14,900942,
4816,03.07.2015,B04SWE,16.5,CA-DO,CA21281806,140,14,900943,
4817,03.07.2015,B04SWE,16.5,DO-CA,DO25609756,140,14,900944,
4818,03.07.2015,B25LML,16.5,DO-CA,DO25609782,140,14,900945,
4819,03.07.2015,B02LML,16.5,CA-DO,CA21281827,140,14,900946,
4820,03.07.2015,AG60DAE,6,CA-DO,CA21281828,140,14,900947,
4821,03.07.2015,SV09FVE,16.5,DO-CA,DO25610112,140,14,900948,
4822,04.07.2015,AG-04-CDY,16.5,DO-CA,DO25610850,140,14,900949,
4823,04.07.2015,NT-09-GHG,16.5,DO-CA,DO25610971,140,14,900950,
4824,05.07.2015,IF-11-TDS,16.5,CA-DO,CA21282839,140,14,900951,
4825,05.07.2015,B-301-WRA,6,CA-DO,CA21282879,80,14,900952,
4826,04.07.2015,NT-46-MAN,16.5,CA-DO,CA21282977,140,14,900953,
4827,05.07.2015,IF-14-ASI,16.5,CA-DO,CA21283119,140,14,900954,
4828,04.07.2015,29488H6,16.5,DO-CA,DO25611864,140,14,900955,
4829,06.07.2015,B-109-ATP,16.5,DO-CA,DO25614302,140,14,900956,
4830,05.07.2015,SV-40-SER,16.5,CA-DO,CA21283479,140,14,900957,
4831,05.07.2015,6188D6,16.5,DO-CA,DO25612103,140,14,900958,
4832,05.07.2015,SV-40-SER,16.5,DO-CA,DO25613278,140,14,900959,
4833,06.07.2015,CJ-49-CNT,16.5,CA-DO,CA21286584,140,14,900960,
4834,06.07.2015,CJ-53-CNT,16.5,CA-DO,CA21286585,140,14,900961,
4835,06.07.2015,B-215-LTO,6,CA-DO,CA21286720,80,14,900962,
4836,06.07.2015,CJ15VEW,16.5,CA-DO,CA21287084,140,14,900963,
