Number,Date,Truck,Length,Route,Ref,Price,BAF,Voucher,INVOICE
1100,"23,09,2013",CJ-15-JZI,16.5,CA-DO,CA20241327,135,14.56,254421,"1,682.00 €"
1101,25.09.2013,IF 11 TDS,16.5,DO - CA,DO24186125,135,14.56,254422,"1,682.00 €"
1102,"25,09,2013",CJ-15-JZG,16.5,DO -CA,DO24186832,135,14.56,254423,"1,682.00 €"
1103,"26,09,2013",B93-DWK,16.5,CA- DO,CA20245550,135,14.56,254424,"1,682.00 €"
1104,"27,09,2013",CJ 02 CNT,16.5,CA- DO,CA20247660,135,14.56,254425,"1,682.00 €"
1105,"27,09,2013",CJ50CNT,16.5,DO-CA,DO24190718,135,14.56,254426,"1,682.00 €"
1106,"27,09,2013",CJ 22 CNT,16.5,DO -CA,DO24190719,135,14.56,254427,"1,682.00 €"
1107,27.09.2013,GJ 14 ABS,16.5,CA - DO,CA20248508,135,14.56,254428,"1,682.00 €"
1108,27.09.2013,GJ 14 ABS,16.5,DO - CA,DO24191716,135,14.56,254429,"1,807.00 €"
1109,28.09.2013,IF 08 TDS,16.5,CA-DO,CA20249294,135,14.56,254430,"1,682.00 €"
1110,30.09.2013,B 40 RJI,16.5,CA-DO,CA20250284,135,14.56,254431,"1,807.00 €"
1111,30.09.2013,CJ -10-JLK,16.5,CA - DO,CA20251201,135,14.56,254432,"1,807.00 €"
1112,"30,09,2013",B-93-DWK,16.5,DO -CA,DO24196292,135,14.56,254433,"1,807.00 €"
1113,01.10.2013,CJ 49 CNT ,16.5,CA - DO,CA20252068,135,14.56,254434,"1,807.00 €"
1114,01.10.2013,CJ 02 CNT,16.5,DO -CA,DO24197273,135,14.56,254435,"1,807.00 €"
1115,"01,10,2013",SB 92 GEP,16.5,CA -DO,CA20252273,135,14.56,254436,"1,807.00 €"
1116,"01,10,2013",SB 92 GEP,16.5,DO -CA,DO24197511,135,14.56,254437,"1,807.00 €"
1117,"02,10,2013",HD 03 LIN,16.5,CA- DO,CA20254135,135,14.56,254438,"1,807.00 €"
1118,"02,10,2013",HD 03 LIN,16.5,DO -CA,DO24199966,135,14.56,254439,"1,807.00 €"
1119,02.10.2013,IF 08 TDS,16.5,DO = CA,DO24200787,135,14.56,254440,"1,807.00 €"
1120,"03,10,2013",CJ-10-JLk,16.5,DO -CA,DO24203010,135,14.56,254441,"1,807.00 €"
1121,"04,10,2013",CJ-15-JZH,16.5,CA- DO,CA20257115,135,14.56,254442,"1,807.00 €"
1122,"04,10,2013",B-93-DWM,16.5,CA -DO,CA20257116,135,14.56,254443,"1,807.00 €"
1123,"04,10,2013", AG24VLX,16.5,CA -DO,CA20257601,135,14.56,254444,"1,807.00 €"
1124,"04,10,2013",AG24VLX,16.5,DO -CA,DO24204731,135,14.56,254445,"1,807.00 €"
1125,"04,10,2013",AG44VLX,16.5, CA -DO,CA20257602,135,14.56,254446,"1,807.00 €"
1126,"04,10,2013",AG44VLX,16.5,DO -CA,DO24204750,135,14.56,254447,"1,807.00 €"
1127,"07,10,2013",CJ 49 CNT ,16.5,DO -CA,DO24209013,135,14.56,254448,"1,807.00 €"
1128,"07,10,2013",CJ 50 CNT,16.5,CA -DO,CA20260434,135,14.56,254449,"1,807.00 €"
1129,"07,10,2013",CJ 02 CNT,16.5,CA- DO,CA20260435,135,14.56,254450,"1,807.00 €"
1130,"07,10,2013",CJ 46 CNT,16.5,CA-DO,CA20260436,135,14.56,254451,"1,807.00 €"
1131,"07,10,2013",B 111 TGT,16.5,CA -DO,CA20260313,135,14.56,254452,"1,807.00 €"
1132,"07,10,2013",B 111 TGT,16.5,DO-CA,DO24208887,135,14.56,254453,"1,807.00 €"
1133,"05,10,2013",SB 91 LAL ,16.5,CA- DO,CA20259606,135,14.56,254454,"1,807.00 €"
1134,"05,10,2013",SB 91 LAL ,16.5,DO -CA,DO24207601,135,14.56,254455,"1,807.00 €"
1135,"07,10,2013",CJ 22 CNT,16.5,CA- DO,CA20260437,135,14.56,254456,"1,807.00 €"
1136,07.10.2013,IF 11 TDS,16.5,CA- DO,CA20260755,135,14.56,254457,"1,807.00 €"
1137,07.10.2013,CJ 98 CNT ,16.5,CA - DO,CA20260831,0,14.56,254458,"1,807.00 €"
1137,"07,10,2013",HD21SMR,6,CA- DO,CA20261474,80,14.56,254458,"1,807.00 €"
1138,"07,10,2013",Cj-15-JZH,16.5,DO- CA,DO24210362,135,14.56,254459,"1,807.00 €"
1139,"07,10,2013",VL 74 ADM,6,DO -CA,DO24210446,80,14.56,254460,"1,807.00 €"
1140,08.10.2013,B-93-DWM,16.5,DO - CA,DO24211697,135,14.56,254461,"1,807.00 €"
1141,08.10.2013,B-40-RJI,16.5,DO - CA,DO24211993,135,14.56,254462,"1,807.00 €"
1142,"08,10,2013",AG50VLX,16.5,CA-DO,CA20262742,135,14.56,254463,"1,807.00 €"
1143,"08,10,2013",AG50 VLX,16.5,DO -CA,DO24212078,135,14.56,254464,"1,807.00 €"
1144,08.10.2013,VL07ERJ,6,CA - DO,CA20263488,80,14.56,254465,"1,807.00 €"
1145,"09,10,2013",HD 03 LIN,16.5,CA- DO,CA20264363,135,14.56,254466,"1,886.00 €"
1146,"09,10,2013",HD 03 LIN,16.5,DO -CA,DO24214261,135,14.56,254467,"1,886.00 €"
1147,"09,10,2013",IF 11 TDS,16.5,DO -CA,DO24214478,135,14.56,254468,"1,807.00 €"
1148,"10,10,2013",CJ-14-TFO,16.5,ca -do,CA20265607,135,14.56,254469,"1,807.00 €"
1149,11.10.2013,CJ 50 CNT,16.5,DO - CA,DO24217998,135,14.56,254470,"1,807.00 €"
1150,11.10.2013,CJ 02 CNT ,16.5,DO - CA,DO24217999,135,14.56,254471,"1,807.00 €"
1151,11.10.2013,CJ 46 CNT,16.5,DO - CA,DO24218000,135,14.56,254472,"1,807.00 €"
1152,11.10.2013,CJ 22 CNT,16.5,DO - CA,DO24218001,135,14.56,254473,"1,807.00 €"
1153,"11,10,2013",CJ-15-JZG,16.5,CA-DO,CA20268174,135,14.56,254474,"1,807.00 €"
1154,"11,10,2013",CJ-15-TFO,16.5,DO -CA,DO24219763,135,14.56,254475,"1,807.00 €"
1155,13.10.2013,IF 08 TDS,16.5,CA- DO,CA20269750,135,14.56,254476,"1,807.00 €"
1156,"14,10,2013",CJ-15-JZG,16.5,do -ca,DO24224246,135,14.56,254477,"1,807.00 €"
1157,"15,10,2013",B-82-EYI,16.5,ca- do,CA20272251,135,14.56,254478,"1,807.00 €"
